,cuest_id_b,parcela,cultivo,temporary_,superf_par,Y,X,patca,correccion,corregido,corregido2,area,geometry,ID,time_x,time_y,temporary_crop,trends
95,3937,12,arroz,1,1.8863997,18.758489,-71.486891,1,Revisar el área,ok,"ok, revisar tipo cultivo",15128.202,"POLYGON ((-71.48622749714866 18.75849782668098, -71.48625710835626 18.75830207878936, -71.48634876913114 18.75812462814847, -71.48649350692449 18.75798284479811, -71.4866771537602 18.75789060737941, -71.48688173310738 18.75785694463532, -71.48708721951003 18.75788515165194, -71.48727349874326 18.75797246733453, -71.48742233665139 18.75811034468101, -71.48751916397542 18.75828528739714, -71.4875545024813 18.75848017096921, -71.487524892794 18.7586759188932, -71.48743323310005 18.75885336999388, -71.4872884955354 18.75899515405582, -71.48710484798879 18.75908739216611, -71.48690026726266 18.7591210553176, -71.48669477933973 18.75909284826861, -71.48650849902556 18.75900553212623, -71.48635966088874 18.75886765406815, -71.48626283427559 18.75869271066045, -71.48622749714866 18.75849782668098))",393712,Baseline,1. Follow-up1,0,no trend
101,3996,11,cafe,0,6.2879992,18.61272,-70.74106,1,ok,ok,ok,14269.944,"POLYGON ((-70.74039674408742 18.61272613391405, -70.74042721844214 18.612530420431, -70.74051963368987 18.61235326440903, -70.74067146884967 18.61223429222002, -70.74082662406796 18.61217169467429, -70.74104598624942 18.6121147442166, -70.74125883691046 18.61211668393326, -70.74144464504514 18.61220479503585, -70.74159280176218 18.61234333785134, -70.74168880447257 18.61251875094416, -70.74172325565416 18.61271386375144, -70.74169278278788 18.6129095773219, -70.74156112588923 18.61307734687698, -70.74140528358687 18.61320111405643, -70.74118106499786 18.61329555646084, -70.74086417042366 18.61328850199505, -70.74071153195705 18.61321252422911, -70.74053202678454 18.61306939102911, -70.7404311938793 18.61292124707127, -70.74039674408742 18.61272613391405))",399611,Baseline,1. Follow-up1,1,no trend
102,4005,11,ají,1,2.5151997,18.605342,-70.72984,0,Revisar el área,ok,ok,15141.456,"POLYGON ((-70.72917676871624 18.60534809206384, -70.72920725551596 18.60515237931088, -70.72929967957954 18.60497522804399, -70.7294449936512 18.6048339789936, -70.72962897335461 18.60474245850045, -70.72983360958257 18.60470962513533, -70.73003887131264 18.60473869280723, -70.73022466630783 18.60482681618241, -70.73037280780397 18.60496536920075, -70.73046879470184 18.60514078942792, -70.73050323102703 18.6053359056026, -70.73047274571476 18.60553161844372, -70.73038032266854 18.60570877020229, -70.73023500875554 18.60585001996002, -70.7300510282915 18.60594154110603, -70.72984639067414 18.60597437482014, -70.7296411274566 18.60594530706007, -70.72945533144406 18.60585718319322, -70.72930718978925 18.60571862946753, -70.72921120365204 18.6055432085875, -70.72917676871624 18.60534809206384))",400511,Baseline,1. Follow-up1,0,no trend
103,4005,12,cafe,0,1.2575998,18.604681,-70.728398,0,Revisar el área,ok,ok,11186.208,"POLYGON ((-70.72763940247148 18.60521741031629, -70.72759806437017 18.60475344977935, -70.72752868611866 18.60462427087072, -70.72751136585129 18.60446465691993, -70.727998264788 18.60445519636195, -70.72816541400778 18.60441371915098, -70.72834817035326 18.60436211274209, -70.72860352490234 18.60423993911805, -70.72866519743967 18.60412453625576, -70.72878266960622 18.60416581886274, -70.72874923291749 18.60466799077111, -70.72868605510457 18.60515288201725, -70.72847731953846 18.60522469889009, -70.72820474324233 18.60519724351573, -70.72763940247148 18.60521741031629))",400512,Baseline,1. Follow-up1,1,no trend
104,4006,11,aguacate,0,1.2575998,18.607828,-70.72654300000002,1,ok,ok,ok,15141.511,"POLYGON ((-70.72603644234742 18.60826253353698, -70.72606693300629 18.60806682101596, -70.72615936176423 18.60788967095096, -70.72630468090595 18.60774842395477, -70.72648866555886 18.607656906167, -70.72669330613134 18.60762407589366, -70.72689857117574 18.6076531467411, -70.72708436813062 18.60774127306477, -70.72723251004003 18.60787982851598, -70.7273284957642 18.60805525042226, -70.7273629294436 18.60825036735793, -70.72733244027238 18.6084460799674, -70.72724001253175 18.60862323052431, -70.72709469354841 18.60876447822797, -70.72691070813447 18.60885599666854, -70.72670606617224 18.60888882729069, -70.72650079964019 18.6088597563548, -70.72631500166801 18.60877162953922, -70.72616685960021 18.60863307338055, -70.72607087463707 18.60845765082144, -70.72603644234742 18.60826253353698))",400611,Baseline,1. Follow-up1,1,no trend
106,4043,11,cafe,0,5.030399299999999,18.615945,-70.73347,0,ok,ok,ok,10010.757,"POLYGON ((-70.73280672890974 18.6159511081953, -70.73283721230501 18.61575539524872, -70.73292963719388 18.61557824222817, -70.73307495623961 18.61543699003574, -70.73325894457898 18.61534546531967, -70.73346359225944 18.61531262706405, -70.73366886713764 18.61534168965651, -70.7338546756897 18.61542980826051, -70.73400282982455 18.615568357283, -70.73405856388212 18.61575858584998, -70.73413327083293 18.61593888946973, -70.73390013963737 18.61601593075091, -70.73379068225047 18.61606686801022, -70.73335128384964 18.61611585150554, -70.73325295650039 18.61623159344753, -70.73294151954204 18.61624694371347, -70.73280672890974 18.6159511081953))",404311,Baseline,1. Follow-up1,1,no trend
110,4080,11,aguacate,0,25.151997,18.733081,-70.91066600000002,0,El punto se encuentra cercano al otro cultivo se recomienda mover el punto al centro de este,Se movió hacia el lado izquierdo,ok,15138.718,"POLYGON ((-70.91183137124229 18.73248806452938, -70.91186165446949 18.73229234067897, -70.91195393667041 18.73211511211078, -70.91209918447285 18.73197372712274, -70.9122831799849 18.73188202536138, -70.91248791255092 18.73184898313957, -70.91269334171902 18.73187783480844, -70.91287935886453 18.73196575617639, -70.91302775548064 18.73210414095648, -70.91312400549762 18.73227944318344, -70.91315868718615 18.73247450314836, -70.91312840546277 18.73267022707456, -70.91303612429995 18.73284745612971, -70.91289087667337 18.7329888418299, -70.91270688040778 18.73308054425653, -70.91250214644664 18.73311358684267, -70.9122967157747 18.733084735098, -70.9121106975911 18.73299681324308, -70.91196230079912 18.73285842775085, -70.91186605153568 18.73268312485861, -70.91183137124229 18.73248806452938))",408011,Baseline,1. Follow-up1,1,no trend
111,4084,11,arroz,1,0.81743991,18.729731,-70.961163,0,ok,ok,ok,21978.337,"POLYGON ((-70.9604194697105 18.72977623017057, -70.96040173441889 18.72823878143862, -70.96018687273467 18.72778173768829, -70.96110930175053 18.72780203159507, -70.96102720850878 18.72886126301016, -70.96110332141477 18.72910009698395, -70.96118473132836 18.72934386773044, -70.96136752569848 18.72929202952055, -70.96183752485575 18.7293819587912, -70.96166132381954 18.72955104780423, -70.96152430095498 18.72970974154016, -70.96119268112349 18.73003272425782, -70.96044917833426 18.73008045052319, -70.96045355371409 18.73000551991665, -70.9604194697105 18.72977623017057))",408411,Baseline,1. Follow-up1,0,no trend
118,2172,11,yuca,1,3.1439996,19.65196,-71.034998,0,"Punto sobre la vía, centrar hacía la derecha","se movió hacia la derecha, la zona de influencia contiene árboles",ok,15373.805,"POLYGON ((-71.03392341314132 19.65175060378096, -71.03498515104921 19.65196321364185, -71.0346444128589 19.65335476361485, -71.03379885213869 19.65315468165214, -71.0339334805786 19.65254916230203, -71.03392341314132 19.65175060378096))",217211,Baseline,1. Follow-up1,1,trend
119,2261,11,yuca,1,25.151997,19.479418,-71.271045,0,Revisar área,"se movió hacia abajo, la zona de influencia contiene árboles","ok, arboles",15132.668,"POLYGON ((-71.27038966220654 19.47926601984745, -71.27041955961214 19.47907027942753, -71.27051177097232 19.47889288138508, -71.27065726983912 19.47875119060634, -71.27084181373957 19.47865907666658, -71.27104733833971 19.47862555621969, -71.27125372566589 19.47865391042358, -71.27144077331346 19.47874136377934, -71.27159017191299 19.47887935581334, -71.27168729731881 19.4790543790092, -71.27172264211066 19.4792493009774, -71.27169274628785 19.47944504145459, -71.27160053603701 19.47962243999092, -71.27145503738241 19.47976413151151, -71.27127049271589 19.47985624615771, -71.27106496666408 19.47988976700581, -71.27085857775509 19.47986141274466, -71.27067152899816 19.47977395889501, -71.27052213018646 19.47963596611917, -71.27042500554671 19.47946094221686, -71.27038966220654 19.47926601984745))",226111,Baseline,1. Follow-up1,0,no trend
120,2268,11,yuca,1,2.1379197,19.430139,-71.43725400000001,0,"Punto sobre árbol, revisar área","se movió hacia arriba, la zona de influencia contiene árboles","ok, arboles",15129.431,"POLYGON ((-71.43658779005543 19.43021630960667, -71.43661748248866 19.43002056267846, -71.43670948151829 19.42984310103872, -71.43685478147947 19.42970129580043, -71.43703915936734 19.42960902774334, -71.43724456709619 19.4295753286066, -71.43745089813113 19.42960349703785, -71.43763795557757 19.42969077572103, -71.43778742910824 19.42982862127927, -71.43788468724479 19.43000354053392, -71.43792020957662 19.43019841127075, -71.4378905187256 19.43039415824294, -71.43779852081437 19.43057162036678, -71.43765322108059 19.43071342634437, -71.4374688424423 19.43080569511357, -71.43726343327178 19.43083939466326, -71.43705710065463 19.43081122618803, -71.43687004208978 19.43072394702075, -71.43672056833171 19.4305861007232, -71.43662331094559 19.43041118075643, -71.43658779005543 19.43021630960667))",226811,Baseline,1. Follow-up1,0,no trend
121,2605,11,yuca,1,6.2879992,19.493365,-71.423236,0,Mover y revisar área,se movió hacia arriba y a la izquierda. la zona de influencia contiene árboles,ok,8056.441,"POLYGON ((-71.4242928880815 19.49363155080734, -71.42501877208385 19.49360685169438, -71.42473149578746 19.49394080000558, -71.42480973652764 19.49405881987427, -71.42471695982283 19.49418982246564, -71.42464589880647 19.49436545070576, -71.42429017029127 19.49415561530197, -71.42408911204579 19.49408344787538, -71.42384581201749 19.49400186458514, -71.42341664495407 19.49380798326339, -71.42372743916359 19.49347443123999, -71.4242928880815 19.49363155080734))",260511,Baseline,1. Follow-up1,0,no trend
122,2607,13,yuca,1,14.462399,19.532284,-71.44374599999999,0,ok,la zona de influencia contiene árboles,ok,27498.277,"POLYGON ((-71.44339945250532 19.53374097297789, -71.44345661306441 19.53264225226245, -71.44353481134273 19.53224194083425, -71.44378652557292 19.53217864769153, -71.44441262384503 19.53227498057881, -71.44512718762284 19.53242002044324, -71.44505154166204 19.53368867348642, -71.44339945250532 19.53374097297789))",260713,Baseline,1. Follow-up1,0,no trend
125,2654,11,yuca,1,8.1743994,19.552858999999998,-71.392402,0,Revisar área,"se movió hacia la derecha, la zona de influencia contiene árboles",ok,17268.838,"POLYGON ((-71.39112324963293 19.55330049172201, -71.39110851276823 19.55267048530969, -71.39129447262194 19.55234775522469, -71.39115642827704 19.55203964884751, -71.39182886025979 19.55144961087934, -71.39241952114553 19.55307410736928, -71.3920251103746 19.55311807693445, -71.39112324963293 19.55330049172201))",265411,Baseline,1. Follow-up1,0,no trend
126,2702,12,yuca,1,1.1318399,19.492720000000002,-71.470428,0,"Punto sobre vía, mover hacía la derecha","se movió hacia la derecha, la zona de influencia contiene árboles","ok, árbol",15128.796,"POLYGON ((-71.4693712195923 19.49271858310297, -71.46940087426603 19.49252283507418, -71.46949286261776 19.49234535792773, -71.46963818002696 19.49220352429445, -71.46982260178039 19.49211121773323, -71.47002807549855 19.49207747375177, -71.47023448818773 19.49210559538695, -71.47042163496143 19.49219282990319, -71.47057119674925 19.49233063824705, -71.47066853343414 19.49250553088302, -71.47070411691648 19.492700388203, -71.47067446383168 19.492896136274, -71.4705824766046 19.49307361390496, -71.47043715942618 19.49321544828002, -71.47025273692152 19.49330775555693, -71.47004726175706 19.49334149995464, -71.46984084747893 19.49331337827725, -71.46965369958059 19.49322614327649, -71.46950413756198 19.49308833419086, -71.46940680162834 19.49291344083919, -71.4693712195923 19.49271858310297))",270212,Baseline,1. Follow-up1,0,no trend
127,3055,11,plátano,0,1.1947198,19.421964000000003,-70.63533099999998,1,Centrar punto hacía la derecha,"se movió hacía la derecha, la zona de influencia contiene edificaciones",ok,9232.15,"POLYGON ((-70.63495950326868 19.42200101391263, -70.63493885571366 19.42211488545037, -70.63439813231824 19.4219647278836, -70.63447846587576 19.42155576994477, -70.63549279862833 19.42168099174518, -70.63560699563244 19.4213905815656, -70.6360595446787 19.42143817960964, -70.6359043651014 19.42198733557497, -70.63575518972107 19.42204810614423, -70.63566706003499 19.42222201223582, -70.63526025861874 19.42211974228898, -70.63512830927326 19.42199690999514, -70.63495950326868 19.42200101391263))",305511,Baseline,1. Follow-up1,1,no trend
128,3059,21,plátano,0,9.4319992,19.424403,-70.60901200000002,1,"Punto sobre la vía, centrar punto hacía la derecha","se movió hacía la derecha, la zona de influencia contiene edificaciones",ok,22548.76,"POLYGON ((-70.60828636321708 19.42441823574397, -70.60894368253879 19.42126729348491, -70.60955760515455 19.42138587423923, -70.60889121229879 19.42444388196835, -70.60828636321708 19.42441823574397))",305921,Baseline,1. Follow-up1,1,no trend
129,3091,11,tabaco,1,1.2575998,19.577316,-70.868375,0,"Punto sobre la vía, mover hacía la izquiersa, revisar área","se movió hacia la derecha y abajo, la zona de influencia contiene edificaciones","ok, se movio a la derecha",7949.979,"POLYGON ((-70.86733183484779 19.57691625771888, -70.86784160136492 19.57573980435238, -70.86852800690204 19.5760151537883, -70.86839413354164 19.57638167148513, -70.86809632217572 19.57639853509192, -70.86781149596997 19.57691129049444, -70.86733183484779 19.57691625771888))",309111,Baseline,1. Follow-up1,0,no trend
132,3115,11,tabaco,1,2.0750396,19.410179,-70.53961200000002,0,revisar área,se movió a la izquierda y arriba,ok,8637.544,"POLYGON ((-70.53941131810362 19.41051601091227, -70.53967588609329 19.40969210113989, -70.5404898755709 19.40995392192482, -70.54030666175773 19.41074096880936, -70.53941131810362 19.41051601091227))",311511,Baseline,1. Follow-up1,0,no trend
134,3127,11,yuca,1,4.7159996,19.854517,-71.036073,1,Centrar punto hacía la derecha,se movió hacía la derecha,ok,9715.291,"POLYGON ((-71.0352356245828 19.85525253368691, -71.03504504766667 19.85443841806235, -71.03599263798782 19.85424160490455, -71.03615697750075 19.85516713930839, -71.0352356245828 19.85525253368691))",312711,Baseline,1. Follow-up1,0,no trend
136,3183,11,yuca,1,1.4462398,19.854802,-71.030102,1,"Punto sobre la vía, mover hacía la derecha","se movió hacia la derecha, la zona de influencia contiene árboles",ok,9776.515,"POLYGON ((-71.02915878600626 19.85496673941133, -71.02900045065351 19.85539735492205, -71.0287004269081 19.85585024900255, -71.02829076623991 19.85541059976378, -71.02870650092426 19.85461023904036, -71.02999759230184 19.85480219445241, -71.02996766092349 19.85502469131687, -71.02915878600626 19.85496673941133))",318311,Baseline,1. Follow-up1,0,no trend
137,3222,11,yuca,1,1.3204799,19.534753,-70.79369199999998,1,ok,ok,ok,15140.713,"POLYGON ((-70.79302508434162 19.53475961977337, -70.79305556825099 19.53456390758535, -70.79314835034894 19.53438670517694, -70.79329434832418 19.5342453582808, -70.79347927085382 19.53415370281005, -70.79368501654676 19.53412071054322, -70.79389144579019 19.53414961094122, -70.79407835207533 19.53423757504513, -70.79422743986585 19.53437599238932, -70.79432411543389 19.53455131382558, -70.79435891538675 19.5347463777678, -70.79432843305348 19.53494209005025, -70.79423565203336 19.53511929297771, -70.79408965422597 19.53526064061928, -70.79390473089008 19.53535229677708, -70.79369898372477 19.53538528941017, -70.79349255290524 19.53535638891776, -70.79330564554228 19.53526842429478, -70.79315655758391 19.53513000620519, -70.79305988282213 19.53495468408186, -70.79302508434162 19.53475961977337))",322211,Baseline,1. Follow-up1,1,trend
139,3245,21,yuca,1,0.62879992,19.430553,-70.50953800000002,0,"Punto sobre la vía, mover hcía la derecha","se movió hacia la derecha, la zona de influencia contiene árboles",ok,11784.325,"POLYGON ((-70.50764744873098 19.43019318111302, -70.50798395456088 19.42970534373706, -70.50955278202983 19.43031738781335, -70.50933921248375 19.43085774269759, -70.50764744873098 19.43019318111302))",324521,Baseline,1. Follow-up1,0,no trend
140,3258,12,yuca,1,5.030399299999999,19.492004,-70.580743,0,Revisar el área,la zona de influencia contiene árboles,"ok ,arboles",14267.092,"POLYGON ((-70.58007618623849 19.49200982168795, -70.58010692579295 19.49181412614113, -70.580199928534 19.49163701686473, -70.58034609055493 19.4914958304737, -70.58053110447774 19.49140438717004, -70.58073685996713 19.49137163796539, -70.58094321645177 19.49140078853044, -70.58108617203779 19.49145771057172, -70.58102741644836 19.4918510061024, -70.58137527919069 19.49180305041844, -70.58140981352237 19.49199817585801, -70.58137907553449 19.49219387151501, -70.58128607385297 19.49237098131941, -70.58113991197983 19.49251216845456, -70.58095489723662 19.49260361243426, -70.580749140272 19.49263636198862, -70.5805427822208 19.4926072113134, -70.5803560230694 19.49251901389544, -70.58020714425523 19.49238040318755, -70.58011071909493 19.49220494747725, -70.58007618623849 19.49200982168795))",325812,Baseline,1. Follow-up1,0,no trend
142,3296,11,plátano,0,0.94319987,19.840521,-71.020905,0,"Punto sobre la vía, mover hacía arriba",mover hacía arriba y a la izquierda,ok,8961.414,"POLYGON ((-71.02035141220959 19.84157774004686, -71.02074112306774 19.84055151596972, -71.02147872991959 19.84074362242314, -71.02098507468223 19.84174202923761, -71.02035141220959 19.84157774004686))",329611,Baseline,1. Follow-up1,0,trend
143,3312,11,tabaco,1,1.8863997,19.812873,-70.95701800000002,1,centrar hacia el cultivo,"se movió hacia la izquierda, la zona de influencia contiene edificaciones",ok,14161.303,"POLYGON ((-70.9566195626186 19.81180499715822, -70.9571750816407 19.81149568523923, -70.95791630193781 19.81228379549074, -70.95755407594723 19.81306510839251, -70.95708714947904 19.81306501015587, -70.9566195626186 19.81180499715822))",331211,Baseline,1. Follow-up1,0,no trend
144,3314,11,plátano,0,1.5719998,19.843331,-71.03322,1,"Punto sobre la copa de un árbol, mover hacía la izquierda y arriba",se movió hacía la izquierda y arriba,ok,7174.461,"POLYGON ((-71.03366008656454 19.84355681840979, -71.03482461410378 19.8427086180142, -71.0350820944132 19.84299257108099, -71.03389186452721 19.84394890252561, -71.03366008656454 19.84355681840979))",331411,Baseline,1. Follow-up1,0,trend
145,3324,11,plátano,0,0.37727994,19.816218,-70.99267999999998,1,"Punto sobre la vía, mover hacía abajo","se movió hacia abajo y a la izquierda, la zona de influencia contiene edificaciones","ok, edificacion",7359.46,"POLYGON ((-70.99279249194942 19.81532618340593, -70.99344633472187 19.81564106951375, -70.99358127814214 19.81570790508602, -70.99321300482775 19.81637103453386, -70.99298031398988 19.81632481647741, -70.99263257919817 19.81615296047662, -70.99272856197871 19.81599079593937, -70.99255733450134 19.81590971988849, -70.99279249194942 19.81532618340593))",332411,Baseline,1. Follow-up1,0,trend
146,3327,11,plátano,0,5.030399299999999,19.848060999999998,-71.048097,1,Centrar hacía abajo,se movió hacia abajo y a la izquierda,ok,16173.254,"POLYGON ((-71.04747097133043 19.84728231237535, -71.0478210465194 19.84634734594272, -71.04867973430252 19.84650024648015, -71.04889471332567 19.84654676214276, -71.04855154740636 19.84752236967365, -71.04816066756618 19.8479650421304, -71.04747097133043 19.84728231237535))",332711,Baseline,1. Follow-up1,0,trend
148,3350,12,plátano,0,1.8863997,19.793445000000002,-71.013729,0,Revisar área y tipo de cultivo,se movió hacia abajo y a la derecha,ok,15137.304,"POLYGON ((-71.0125703976823 19.79324265500422, -71.01260063102416 19.7930469291719, -71.01269328341589 19.79286962594167, -71.01283928523817 19.79272810091564, -71.01302434478853 19.7926362074421, -71.01323034726286 19.79260294059427, -71.01343712791522 19.79263155670815, -71.01362444584277 19.79271925465058, -71.01377396521926 19.79285745000935, -71.01387105007329 19.79303261536719, -71.01390619694882 19.79322760441866, -71.01387596521327 19.7934233303317, -71.01378331393138 19.79360063407877, -71.01363731229853 19.79374215986037, -71.01345225194486 19.79383405403959, -71.01324624798129 19.79386732127366, -71.01303946572263 19.79383870507906, -71.01285214668525 19.79375100661977, -71.01270262711932 19.79361281050544, -71.01260554306862 19.79343764444193, -71.0125703976823 19.79324265500422))",335012,Baseline,1. Follow-up1,0,trend
159,1324,21,cero,0,2.2007997,19.116395999999998,-70.607173,0,mover hacia el centro del cultivo y revisar el área,Se movió hacia abajo,"ok, arboles",15143.256,"POLYGON ((-70.60631055800839 19.1160703851396, -70.60634123129012 19.11587468469304, -70.60643402446618 19.11569757226611, -70.60657985414642 19.1155563847841, -70.6067644454845 19.11546494255799, -70.60696972950748 19.11543219649561, -70.60717561178933 19.11546135196047, -70.60736193935546 19.11554955502725, -70.60751047331298 19.11568817183827, -70.60760667414444 19.11586363371774, -70.60764112492889 19.11605876532878, -70.60761045317899 19.11625446587898, -70.60751766104177 19.11643157882025, -70.60737183151056 19.11657276703082, -70.60718723937477 19.11666420992144, -70.60698195391204 19.11669695633045, -70.60677607009833 19.11666780076196, -70.60658974149339 19.11657959718085, -70.60644120738684 19.11644097964127, -70.6063450073531 19.11626551709728, -70.60631055800839 19.1160703851396))",132421,Baseline,1. Follow-up1,1,no trend
173,2647,11,maiz grano/mazorca,1,16.348799,19.458710999999997,-71.27651,0,"el punto esta sobre la copa de un árbol, mover hacia el centro del cultivo y revisar el área",Se movió hacia arriba y derecha,ok,25898.298,"POLYGON ((-71.27520058502637 19.46075431802255, -71.27545635342804 19.45878804030141, -71.27659215394955 19.45900107824407, -71.27654931087477 19.46061339620617, -71.27520058502637 19.46075431802255))",264711,Baseline,1. Follow-up1,0,no trend
174,2688,11,maiz grano/mazorca,1,6.2879992,19.458362,-71.31385299999998,0,el punto esta sobre la vía mover hacia la izquierda,Se movió hacia la izquierda,ok,14640.046,"POLYGON ((-71.31397716550211 19.45839116812489, -71.3140832833807 19.45819351064923, -71.31494578262209 19.45756775903941, -71.31537932178327 19.45779985003446, -71.31532078060715 19.4581295707758, -71.3149428472407 19.45889542072319, -71.31450545353269 19.45915930010427, -71.31397716550211 19.45839116812489))",268811,Baseline,1. Follow-up1,0,no trend
175,2702,11,guandul,1,1.5719998,19.5026,-71.465767,0,"punto sobre la vía, mover hacia la derecha",Se movió hacia la derecha,ok,15128.889,"POLYGON ((-71.46446498613706 19.50221088543777, -71.46449464716164 19.50201513756543, -71.46458664528849 19.50183766191291, -71.46473197494021 19.50169583096472, -71.46491641020518 19.50160352801685, -71.46512189738147 19.50156978822328, -71.46532832215813 19.50159791421101, -71.46551547846555 19.50168515281845, -71.46566504630015 19.50182296459177, -71.46576238495292 19.50199785965981, -71.46579796613149 19.50219271817644, -71.46576830669663 19.50238846609147, -71.46567630969466 19.50256594222906, -71.46553098027331 19.50270777391943, -71.46534654425622 19.50280007758311, -71.46514105563259 19.50283381779268, -71.46493462926621 19.50280569176225, -71.4647474718339 19.50271845266974, -71.46459790376892 19.50258064015424, -71.46450056586829 19.5024057443704, -71.46446498613706 19.50221088543777))",270211,Baseline,1. Follow-up1,0,no trend
178,3055,12,cero,0,0.50303996,19.428365,-70.617025,1,mover hacia el centro del cultivo y revisar el área,Se moció hacia abajo,ok,6503.316,"POLYGON ((-70.61685242709314 19.42845865784862, -70.6166728709164 19.42839535182502, -70.61686478023165 19.42757982933442, -70.61744411048824 19.42762459531848, -70.61727965161631 19.4285547061646, -70.6169693313895 19.42857244899553, -70.61685242709314 19.42845865784862))",305512,Baseline,1. Follow-up1,1,no trend
183,3104,21,cero,0,1.5719998,19.830976999999997,-71.16703200000002,1,ok,ok,ok,15134.692,"POLYGON ((-71.16636400840815 19.83098511343983, -71.16639405318918 19.83078937881674, -71.16648654446655 19.83061200996405, -71.16663242839005 19.83047036890834, -71.16681742479584 19.83037832035557, -71.16702342505945 19.83034487455801, -71.1672302646511 19.83037330536681, -71.16741769689961 19.83046082978615, -71.16756737479018 19.83059888038857, -71.167664646837 19.83077394392672, -71.16769999126173 19.83096888406314, -71.16766994809448 19.83116461875563, -71.1675774579406 19.83134198811887, -71.16743157422114 19.83148362993127, -71.16724657702203 19.83157567919786, -71.16704057527076 19.83160912539369, -71.16683373406534 19.83158069451551, -71.16664630069333 19.83149316958561, -71.1664966225987 19.8313551182265, -71.16639935134521 19.83118005397453, -71.16636400840815 19.83098511343983))",310421,Baseline,1. Follow-up1,1,no trend
188,3168,11,cero,0,4.1500793,19.390898999999997,-70.57975,0,ok,ok,ok,8407.634,"POLYGON ((-70.57931667371325 19.39149519565295, -70.57952878385183 19.39072514575946, -70.57977341994665 19.39048214176128, -70.57992509366741 19.39055894658374, -70.58022466030668 19.39103158990875, -70.58009217211871 19.39152100858103, -70.57984722099515 19.39173146463981, -70.57931667371325 19.39149519565295))",316811,Baseline,1. Follow-up1,0,trend
191,3186,11,cero,0,1.2575998,19.815224,-70.994214,1,posicionarlo hacia el centro del cultivo,Se movió hacia la derecha,ok,6714.314,"POLYGON ((-70.99287841819404 19.81501690901892, -70.99287262363688 19.81471996930156, -70.99417928474493 19.81480699573242, -70.99421441534362 19.81500198988713, -70.99418415764559 19.8151977144699, -70.99291354730083 19.8152119035587, -70.99287841819404 19.81501690901892))",318611,Baseline,1. Follow-up1,1,no trend
193,3188,11,cereza,0,0.81743991,19.8386,-71.02436800000001,1,"el punto esta en la vía, correlo hacia la izquierda de la vía",Se movió hacia la izquierda,ok,15137.135,"POLYGON ((-71.02328771766965 19.83915764161924, -71.02331794089919 19.83896191530194, -71.02341060250484 19.83878460607003, -71.02355663196485 19.83864307011299, -71.02374173487121 19.83855116184882, -71.02394779217606 19.83851787779828, -71.0241546337668 19.83854647598108, -71.0243420127762 19.83863415701925, -71.02449158739941 19.83877233815541, -71.02458871625727 19.83894749336477, -71.0246238915861 19.83914247733559, -71.02459366996754 19.83933820373334, -71.02450100947536 19.83951551348309, -71.02435498020596 19.83965705019759, -71.02416987649462 19.83974895916947, -71.02396381769663 19.83978224360768, -71.0237569744949 19.83975364534444, -71.02356959437205 19.83966596378842, -71.02342001955819 19.83952778189482, -71.02332289150532 19.83935262597773, -71.02328771766965 19.83915764161924))",318811,Baseline,1. Follow-up1,0,trend
195,3188,13,chinola,0,1.1318399,19.828547,-71.013614,1,"el punto esta sobre la vía, mover hacia abajo",Se movió hacia abajo,ok,6990.072,"POLYGON ((-71.01302793067423 19.82883308426614, -71.012857149024 19.82881316516087, -71.01322776383542 19.82788141162758, -71.01374365872108 19.82800107671344, -71.01423930059453 19.82815716756334, -71.01302793067423 19.82883308426614))",318813,Baseline,1. Follow-up1,1,no trend
200,3267,21,pasto,0,0.31439996,19.434099,-70.62769900000002,1,"el punto esta sobre la vía, mover hacia la derecha y abajo","Se movió hacia la derecha y abajo, la zona de influencia contiene árboles","ok, arboles cancha de golf",15143.026,"POLYGON ((-70.62503281502568 19.43406278139423, -70.625063494584 19.43386708164497, -70.62515641857689 19.43368995404255, -70.62530249080605 19.4335487369964, -70.62548741268242 19.4334572537096, -70.62569308287983 19.43342445910762, -70.62589936917499 19.43345356330456, -70.6260860790499 19.4335417173939, -70.62623493619162 19.43368029231358, -70.62633136944753 19.43385572349029, -70.62636593914307 19.43405083859418, -70.62633526114701 19.43424653844949, -70.62624233821344 19.4344236665758, -70.62609626613609 19.43456488436358, -70.62591134344601 19.43465636832648, -70.62570567178017 19.43468916328077, -70.62549938392276 19.43466005897779, -70.6253126729885 19.43457190436456, -70.62516381569498 19.43443332870324, -70.6250673832528 19.43425789685044, -70.62503281502568 19.43406278139423))",326721,Baseline,1. Follow-up1,0,trend
202,3295,11,ñame,1,2.5151997,19.798827,-70.908378,1,"el punto esta sobre la vía, mover hacia la izquierda",Se movió hacia la izquierda,ok,17462.933,"POLYGON ((-70.9063941571675 19.79884217240279, -70.90645900482275 19.79734830777417, -70.90779399590429 19.79798601084036, -70.90731916903628 19.79897319804665, -70.9063941571675 19.79884217240279))",329511,Baseline,1. Follow-up1,0,no trend
